PUBLIC_ROUTE_NAME,TRIP_ID,BLOCK_NAME,LONGITUDE,LATITUDE,SCHEDULED_ARRIVAL_TIME
49,5312399,4901,-122.435731,37.723941,10/7/2012 10:40:00.641000 AM
49,5312399,4901,-122.421254,37.784683,10/7/2012 10:00:00.647000 AM
49,5312399,4901,-122.420324,37.779687,10/7/2012 10:04:00.653000 AM
49,5312399,4901,-122.431412,37.728696,10/7/2012 10:36:00.659000 AM
49,5312399,4901,-122.45356,37.72376,10/7/2012 10:46:00.665000 AM
49,5312399,4901,-122.41971,37.76455,10/7/2012 10:14:00.670000 AM
54,5240816,5402,-122.428676,37.719728,10/7/2012 8:01:00.724000 AM
54,5240816,5402,-122.39285,37.72925,10/7/2012 8:17:00.730000 AM
54,5240816,5402,-122.46717,37.711418,10/7/2012 7:42:00.736000 AM
54,5240816,5402,-122.469273,37.705764,10/7/2012 7:40:00.742000 AM
54,5240816,5402,-122.388632,37.740344,10/7/2012 8:38:00.748000 AM
54,5240816,5402,-122.390928,37.734091,10/7/2012 8:23:00.753000 AM
14,5311007,1411,-122.418528,37.751964,10/7/2012 12:21:00.148000 PM
14,5311007,1411,-122.40664,37.782725,10/7/2012 11:59:00.154000 AM
14,5311007,1411,-122.41971,37.76455,10/7/2012 12:13:00.159000 PM
14,5311007,1411,-122.422,37.74244,10/7/2012 12:28:00.165000 PM
14,5311007,1411,-122.446532,37.711468,10/7/2012 12:47:00.171000 PM
14,5311007,1411,-122.417292,37.774306,10/7/2012 12:06:00.176000 PM
14,5311007,1411,-122.431412,37.728696,10/7/2012 12:36:00.182000 PM
14,5311007,1411,-122.46126,37.70602,10/7/2012 12:54:00.187000 PM
14,5311007,1411,-122.441149,37.716455,10/7/2012 12:44:00.193000 PM
14,5311007,1411,-122.393324,37.79324,10/7/2012 11:50:00.198000 AM
14,5311020,1413,-122.422,37.74244,10/7/2012 2:38:00.932000 PM
14,5311020,1413,-122.46126,37.70602,10/7/2012 3:04:00.938000 PM
14,5311020,1413,-122.393324,37.79324,10/7/2012 2:00:00.942000 PM
14,5311020,1413,-122.446532,37.711468,10/7/2012 2:57:00.947000 PM
14,5311020,1413,-122.40664,37.782725,10/7/2012 2:09:00.953000 PM
14,5311020,1413,-122.418528,37.751964,10/7/2012 2:31:00.958000 PM
14,5311020,1413,-122.431412,37.728696,10/7/2012 2:46:00.964000 PM
19,5224117,1903,-122.420827,37.791741,10/7/2012 11:15:00.982000 AM
19,5224117,1903,-122.401821,37.772034,10/7/2012 10:53:00.989000 AM
19,5224117,1903,-122.382973,37.740003,10/7/2012 10:35:00.995000 AM
19,5224117,1903,-122.365447,37.72792,10/7/2012 10:29:00.002000 AM
19,5224117,1903,-122.39622,37.750002,10/7/2012 10:40:00.008000 AM
22,5316719,2204,-122.407646,37.765701,10/7/2012 9:32:00.218000 PM
22,5316719,2204,-122.388673,37.76059,10/7/2012 9:40:00.226000 PM
22,5316719,2204,-122.437137,37.796627,10/7/2012 9:01:00.233000 PM
22,5316719,2204,-122.403617,37.76482,10/7/2012 9:34:00.239000 PM
22,5316719,2204,-122.430537,37.772199,10/7/2012 9:18:00.244000 PM
22,5316719,2204,-122.429065,37.767821,10/7/2012 9:21:00.250000 PM
22,5316719,2204,-122.431762,37.778343,10/7/2012 9:14:00.255000 PM
22,5316719,2204,-122.433268,37.785814,10/7/2012 9:08:00.260000 PM
22,5316719,2204,-122.436517,37.8024,10/7/2012 8:53:00.265000 PM
22,5316719,2204,-122.410328,37.765568,10/7/2012 9:31:00.272000 PM
22,5316719,2204,-122.419835,37.764983,10/7/2012 9:27:00.277000 PM
22,5316719,2204,-122.436469,37.800891,10/7/2012 8:56:00.282000 PM
24,5227262,2404,-122.433025,37.792716,10/7/2012 7:10:00.534000 AM
24,5227262,2404,-122.435071,37.760747,10/7/2012 7:27:00.540000 AM
24,5227262,2404,-122.434179,37.751253,10/7/2012 7:30:00.545000 AM
24,5227262,2404,-122.42217,37.74231,10/7/2012 7:36:00.549000 AM
24,5227262,2404,-122.438976,37.780448,10/7/2012 7:18:00.552000 AM
